< CODEBLOCKSTART, <?php >
< DELIMETER, NEWLINE >
< IDENTIFIER, $var >
< DELIMETER, SPACE >
< OPERATOR, = >
< DELIMETER, SPACE >
< INTEGERLITERAL, 10 >
< PUNCTUATION, ; >
< DELIMETER, NEWLINE >
< IDENTIFIER, $var1 >
< OPERATOR, = >
< STRINGLITERAL, "string" >
< PUNCTUATION, ; >
< DELIMETER, NEWLINE >
< KEYWORD, if >
< PUNCTUATION, ( >
< IDENTIFIER, $var >
< OPERATOR, == >
< INTEGERLITERAL, 2 >
< PUNCTUATION, ) >
< DELIMETER, SPACE >
< PUNCTUATION, { >
< DELIMETER, NEWLINE >
< KEYWORD, echo >
< DELIMETER, SPACE >
< STRINGLITERAL, "okay" >
< PUNCTUATION, ; >
< DELIMETER, NEWLINE >
< PUNCTUATION, } >
< DELIMETER, NEWLINE >
< KEYWORD, while >
< PUNCTUATION, ( >
< IDENTIFIER, $var >
< OPERATOR, == >
< IDENTIFIER, $var1 >
< PUNCTUATION, ) >
< PUNCTUATION, { >
< DELIMETER, NEWLINE >
< KEYWORD, echo >
< DELIMETER, SPACE >
< STRINGLITERAL, "this" >
< PUNCTUATION, . >
< IDENTIFIER, $var >
< PUNCTUATION, . >
< STRINGLITERAL, " is" >
< PUNCTUATION, ; >
< DELIMETER, NEWLINE >
< PUNCTUATION, } >
< DELIMETER, NEWLINE >
< COMMENT, //single line comment >
< DELIMETER, NEWLINE >
< COMMENT, #single line comment >
< DELIMETER, NEWLINE >
< COMMENT, /*multi
line
comment
*/ >
< DELIMETER, NEWLINE >
< CODEBLOCKEND, ?> >
